Name,Cleaned Domain,Phone Number,Address,Keywords
Hippo Cleaning Services,carpetcleaningny.net,7185328696,"485 Fashion Ave, New York, NY, 10018","['Carpet & Rug Cleaners', 'Water Damage Restoration', 'Upholstery Cleaners']"
Restora-Rug Carpet & Upholstery,restorarug.com,8446676767,"535 5th Ave #4th Floor, New York, NY, 10017",['Carpet & Rug Cleaners']
Green Choice Carpet Cleaning NYC,greenchoicecarpet.net,2123900148,"535 5th Ave, New York, NY, 10017",['Carpet & Rug Cleaners']
Green Star Carpet Cleaning,N/A,3477089222,"545 W 45th St Fl 1, New York, NY, 10036",['Carpet & Rug Cleaners']
Rug Pro NYC,rugcleaningnyc.net,2129942709,"1271 Avenue of the Americas, New York, NY, 10020",['Carpet & Rug Cleaners']
NY STEAMERS Carpet & Upholstery Cleaning,nysteamers.com,2127158775,"888 8th Ave Apt 3N, New York, NY, 10019",['Carpet & Rug Cleaners']
Sutton Carpet Co,suttoncourt.com,2129353300,"417 E 57th St, New York, NY, 10022","['Carpet & Rug Cleaners', 'Floor Materials', 'Building Cleaners-Interior']"
Rug Cleaning New York,rugcleaningnewyork.com,6463081434,"3 Columbus Cir, New York, NY, 10019",['Carpet & Rug Cleaners']
On Time Rug Cleaning,ontimerugscleaning.com,2128102171,"32 Warren St, New York, NY, 10007",['Carpet & Rug Cleaners']
NYCarpet Cleaning,N/A,2123801219,"48 Warren St, New York, NY, 10007",['Carpet & Rug Cleaners']
Carpet Patrol,N/A,2123985574,"295 Greenwich St, New York, NY, 10007",['Carpet & Rug Cleaners']
Fresh Upholstery Cleaning,N/A,2125711121,"129 Fulton St, New York, NY, 10038","['Carpet & Rug Cleaners', 'Carpet & Rug Dealers']"
B&H Carpet Cleaning,N/A,7186692624,"32 White St, New York, NY, 10013",['Carpet & Rug Cleaners']
Thrift Carpet Cleaning,N/A,6462245808,"333 Pearl St, New York, NY, 10038",['Carpet & Rug Cleaners']
Barnett Ronnee,N/A,2129663520,"250 W Broadway, New York, NY, 10013","['Carpet & Rug Cleaners', 'Carpet & Rug Repair']"
Cleanrite Inc,deterrent.com,2122539255,"150 Broadway, New York, NY, 10038",['Carpet & Rug Cleaners']
Manhattan Rug Cleaning,N/A,2126771060,"150 Broadway Rm 1101, New York, NY, 10038",['Carpet & Rug Cleaners']
Kramer Textile Co,N/A,2122264530,"451 Broadway, New York, NY, 10013",['Carpet & Rug Cleaners']
NYC Rug Cleaning,oriental-rug-care.com,2122034969,"144 Washington Street, New York, NY, 10006","['Carpet & Rug Cleaners', 'Carpet & Rug Dyers']"
Shepard Industries,N/A,2128711177,"2 World Financial Ctr, New York, NY, 10281",['Carpet & Rug Cleaners']
Organic Carpet Cleaners,N/A,2123801202,"133 Grand St, New York, NY, 10013",['Carpet & Rug Cleaners']
Avon Carpet Cleaning Co Inc,N/A,2123219122,"395 S End Ave Apt 1K6, New York, NY, 10280","['Carpet & Rug Cleaners', 'Cleaning Contractors']"
DND Carpet & Upholstery Cleaning,N/A,3475241899,"180 Lafayette St, New York, NY, 10013","['Carpet & Rug Cleaners', 'Janitorial Service']"
I-Steamers,i-steamers.com,6464348477,"57 Greene St, New York, NY, 10012",['Carpet & Rug Cleaners']
Royals Carpet Cleaning Alexandria,N/A,5713490112,"95 Greene St, New York, NY, 10012",['Carpet & Rug Cleaners']
I Design Ny Window Treatment,N/A,2122439999,"100 Prince St, New York, NY, 10012",['Carpet & Rug Cleaners']
Cleanway System,N/A,6465269220,"95 Delancey St, New York, NY, 10002",['Carpet & Rug Cleaners']
Abc Carpet Cleaning Inc,N/A,2127777570,"384 Grand St, New York, NY, 10002",['Carpet & Rug Cleaners']
Soho Carpet Cleaning,sohocarpetcleaning.co,6467761380,"284 Mott St Apt 9q, New York, NY, 10012","['Carpet & Rug Cleaners', 'Water Damage Restoration', 'Upholstery Cleaners']"
Office Carpet Cleaning,mintgreencleaning.com,2122945972,"160 Orchard St, New York, NY, 10002",['Carpet & Rug Cleaners']
Long Island Carpet Cleaning,N/A,2127770892,"79 Clinton St, New York, NY, 10002",['Carpet & Rug Cleaners']
Rug New York,nyccarpetclean.com,2129297784,"10 Downing St, New York, NY, 10014","['Carpet & Rug Cleaners', 'Carpet & Rug Dealers']"
Carpet Services,carpetservices.com,2128864567,"15 E 4th St, New York, NY, 10003","['Carpet & Rug Cleaners', 'Floor Materials']"
Rug Steam,rugsteam.com,2129622202,"419 Lafayette St, New York, NY, 10003",['Carpet & Rug Cleaners']
Ny Carpet & Upholstery Inc,mrcleancarpetcleaning.com,2122227602,"770 Broadway, New York, NY, 10003","['Carpet & Rug Cleaners', 'Upholsterers']"
Asos Co Inc,asos.com,2124605163,"66 W 9th St, New York, NY, 10011",['Carpet & Rug Cleaners']
Stain & Steamer Carpet Cleaner,N/A,2123699009,"151 1st Ave, New York, NY, 10003",['Carpet & Rug Cleaners']
Rug Cleaning Manhattan,rugcleaningmanhattan.com,2126777177,"28 E 14th St, New York, NY, 10003","['Carpet & Rug Cleaners', 'Drapery & Curtain Cleaners']"
Mr Carpet Cleaner New York,N/A,3477573178,"432 E 14th St, New York, NY, 10009",['Carpet & Rug Cleaners']
Empire Carpet,N/A,6462895605,"639 E 12th St, New York, NY, 10009","['Carpet & Rug Cleaners', 'Floor Materials']"
5 Stars Carpet Cleaning,5starscarpetcleaning.com,2124144391,"134 W 18th St, New York, NY, 10011","['Carpet & Rug Cleaners', 'Drapery & Curtain Cleaners', 'Cleaning Contractors']"
Carpet Cleaning NY,carpetcleaning-ny.com,2125376653,"33 W 19th St, New York, NY, 10011",['Carpet & Rug Cleaners']
Long Island Carpet Cleaning,N/A,2122530200,"22 E 21st St, New York, NY, 10010","['Carpet & Rug Cleaners', 'Cleaning Contractors']"
Fresh Rug,freshrug.com,6464238297,"155 5th Ave, New York, NY, 10010",['Carpet & Rug Cleaners']
Sam's Carpet Cleaners & Co,N/A,3472012419,"111 E 24th St, New York, NY, 10010",['Carpet & Rug Cleaners']
Magic Touch Carpet Cleaning,wallstreetcarpetcleaning.com,2122945971,"119 W 23rd St Ste 200, New York, NY, 10011",['Carpet & Rug Cleaners']
ABC Carpet & Upholstery,orientalrugcareny.com,2128199535,"156 10th Ave Frnt 1, New York, NY, 10011",['Carpet & Rug Cleaners']
Oriental Carpet & Upholstery Cleaners,manhattan-carpets.com,2122439999,"110 W 26th St, New York, NY, 10001","['Carpet & Rug Cleaners', 'Cleaning Contractors', 'Janitorial Service']"
Abc Carpet Cleaning,N/A,2128891003,"135 E 28th St, New York, NY, 10016",['Carpet & Rug Cleaners']
Five Star,greenpronyc.com,2124574871,"244 5th Ave, New York, NY, 10001","['Carpet & Rug Cleaners', 'Dry Cleaners & Laundries', 'Water Damage Restoration']"
Citywide Maintenance Services,cwclean.com,2128028100,"244 5th Ave, New York, NY, 10001","['Carpet & Rug Cleaners', 'Building Maintenance', 'Industrial Cleaning']"
I M International of New York,iminternational.com,2126896141,"1178 Broadway, New York, NY, 10001","['Carpet & Rug Cleaners', 'Carpet & Rug Repair']"
Silk Rug Cleaning Manhattan,N/A,9179354429,"133 E 29th St, New York, NY, 10016",['Carpet & Rug Cleaners']
Empire Carpet,empirehotelnyc.com,6462895608,"559 W 22nd St, New York, NY, 10011","['Carpet & Rug Cleaners', 'Floor Materials']"
Manhattan Carpet Cleaning Services,manhattancarpetcleaningservices.com,6465420227,"11 E 29th St, New York, NY, 10016",['Carpet & Rug Cleaners']
Kalaty Rug Corp,N/A,2126837222,"443 Park Ave S, New York, NY, 10016",['Carpet & Rug Cleaners']
H M Nabavian & Sons,hmnabavian.com,2122132476,"36 E 31st St Rm 204, New York, NY, 10016","['Carpet & Rug Cleaners', 'Carpet & Rug Dealers', 'Carpets & Rugs-Layers Equipment & Supplies']"
Rug Wash Carpet Cleaning Nyc,rugwash.com,7187668395,"17 E 31st St Frnt 1, New York, NY, 10016",['Carpet & Rug Cleaners']
Kyle & Kath,jan-kath.com,6467452555,"555 W 25th St, New York, NY, 10001","['Carpet & Rug Cleaners', 'Carpet & Rug Dealers']"
A Line Carpet Cleaning,manhattancarpetandrugcleaning.com,2129491933,"385 7th Ave, New York, NY, 10001",['Carpet & Rug Cleaners']
Long Island Carpet Cleaning,N/A,2122135200,"14 E 33rd St, New York, NY, 10016","['Carpet & Rug Cleaners', 'Cleaning Contractors']"
Chelsea Frank,bozzuto.com,2129677218,"7 W 34th St, New York, NY, 10001",['Carpet & Rug Cleaners']
Americas New York Carpet Cleaners,N/A,3474709118,"Address1776 Avenue Of The Americas Ste 1199, New York, NY, 10001",['Carpet & Rug Cleaners']
Carpets Galore Inc,carpetsgaloreoroville.com,2127369081,"204 W 35th St, New York, NY, 10123","['Carpet & Rug Cleaners', 'Floor Materials']"
Manhattan Carpet Cleaners,N/A,2128390009,"13 E 37th St, New York, NY, 10016","['Carpet & Rug Cleaners', 'Cleaning Contractors']"
Apple Carpet Cleaning,N/A,7189061209,"37 W 39th St, New York, NY, 10018",['Carpet & Rug Cleaners']
Guarantee Green,guarantee-green.com,2123306421,"550 8th Ave, New York, NY, 10018","['Carpet & Rug Cleaners', 'Carpet & Rug Repair']"
Carpet Cleaning Pro,carpet-cleaning-pro.com,6466884917,"202 W 40th St, New York, NY, 10018",['Carpet & Rug Cleaners']
Restora-Rug Carpet & Upholstery Cleaning,restorarug.com,8446676767,"535 5th Ave., New York, NY, 10017","['Carpet & Rug Cleaners', 'Upholstery Cleaners']"
Fiber-Seal Systems,fiberseal.com,2128881070,"216 E 45th St, New York, NY, 10017",['Carpet & Rug Cleaners']
New York Green Carpet Cleaning,nyccarpetclean.com,6465197237,"420 W 42nd St, New York, NY, 10036",['Carpet & Rug Cleaners']
Local Carpet Cleaners,N/A,9177647426,"232 W 44th St, New York, NY, 10036",['Carpet & Rug Cleaners']
Always Green Carpet Cleaner,alwaysgreencarpetcleaner-manhattan-local.com,7187703080,"1165 6th Ave, New York, NY, 10036","['Carpet & Rug Cleaners', 'Carpet & Rug Cleaning Equipment-Wholesale & Manufacturers', 'Carpet & Rug Cleaners-Water Extraction']"
UCM Rug Cleaning Manhattan,rug-cleaning-nyc.com,3322339499,"354 W 44th St, New York, NY, 10036",['Carpet & Rug Cleaners']
ABC Rug & Upholstery Cleaning,abcrugcleaningnewyork.com,2126349645,"20 W 47th St, New York, NY, 10036","['Carpet & Rug Cleaners', 'Janitorial Service']"
Vandenloom,vandenloom.com,2127526800,"13 E 47th St Fl 4, New York, NY, 10017",['Carpet & Rug Cleaners']
Weiss Carpet Cleaning,N/A,2129442711,"62 W 47th St, New York, NY, 10036",['Carpet & Rug Cleaners']
Midtown Carpet Cleaning,midtowncarpetcleaning.com,6467761550,"21 W 47th St, New York, NY, 10036","['Carpet & Rug Cleaners', 'Water Damage Restoration', 'Upholstery Cleaners']"
American Quality Service,N/A,2128408526,"1211 Avenue Of The Americas, New York, NY, 10036",['Carpet & Rug Cleaners']
Silk Rug Cleaners,silkrugcleaners.com,2126622640,"500 W 45th St, New York, NY, 10036","['Carpet & Rug Cleaners', 'Carpet & Rug Repair', 'Carpet & Rug Cleaners-Water Extraction']"
Nyc Silk Rug Cleaning,N/A,9295902672,"165 W 48th St, New York, NY, 10036",['Carpet & Rug Cleaners']
Perfection Carpet Care,perfectioncarpetcare.co,2123549882,"1221 Avenue Of The Americas  Level C3, New York, NY, 10020","['Carpet & Rug Cleaners', 'Floor Waxing, Polishing & Cleaning', 'Water Damage Restoration']"
Empire Carpet,N/A,6462895606,"635 W 46th St, New York, NY, 10036","['Carpet & Rug Cleaners', 'Floor Materials']"
Sutton Carpet Ltd.,suttoncarpetltd.com,2129805967,"375 Park Ave Ste 2607, New York, NY, 10152","['Carpet & Rug Cleaners', 'Carpet & Rug Dealers', 'Janitorial Service']"
Gwyn Gilliss Communications,N/A,2125959001,"666 5th Ave Ste 323, New York, NY, 10103",['Carpet & Rug Cleaners']
Stahl Douglas,N/A,2128266363,"425 Park Ave, New York, NY, 10022",['Carpet & Rug Cleaners']
Fiber Seal of Ny Inc,fiberseal.com,2128881070,"160 E 56th St Rm 702, New York, NY, 10022","['Carpet & Rug Cleaners', 'Janitorial Service', 'Upholstery Cleaners']"
Carpet Cleaning Manhattan,carpetcleaningmanhattan.com,2127591005,"325 E 59th St, New York, NY, 10022","['Carpet & Rug Cleaners', 'Carpet & Rug Repair', 'Drapery & Curtain Cleaners']"
A & J Carpet Cleaners,carpet-steam-cleaning.com,2127591005,"325 E 59th St, New York, NY, 10022","['Carpet & Rug Cleaners', 'Janitorial Service', 'Cleaning Contractors']"
Manhattan Carpet Cleaning New York,N/A,7183103321,"235 E 60th St, New York, NY, 10022",['Carpet & Rug Cleaners']
USA Clean Master,usacleanmaster.com,6468786360,"1146 2nd Ave, New York, NY, 10065",['Carpet & Rug Cleaners']
AAA Carpet Cleaning,N/A,2128383800,"406 E 64th St, New York, NY, 10065","['Carpet & Rug Cleaners', 'Cleaning Contractors']"
Ajami Rug Clean & Repair,ajamirugcleaners.com,9177942263,"2 W End Ave, New York, NY, 10023",['Carpet & Rug Cleaners']
Carpet Cleaning Group Nyc,N/A,9179241117,"160 W 66th St, New York, NY, 10023",['Carpet & Rug Cleaners']
Mint Commercial Cleaning,mintgreencleaning.com,2122928891,"1448 1st Ave, New York, NY, 10021",['Carpet & Rug Cleaners']
Carpet Cleaning,N/A,6467565069,"530 E 76th St Apt 10a, New York, NY, 10021",['Carpet & Rug Cleaners']
ABC Green Cleaning,abcgreencleaning.com,8009069135,"288 Columbus Ave, New York, NY, 10023",['Carpet & Rug Cleaners']
Steam Bright inc.,phoenix.nsre.com,6464166362,"1461 1st ave, new york, NY, 10075",['Carpet & Rug Cleaners']
Shiraz,shirazgn.com,2125020662,"232 E 83rd St, New York, NY, 10028","['Carpet & Rug Cleaners', 'Carpet & Rug Repair']"
Green Rug Cleaners,greenrugcleaners.com,8002514264,"217 E 85th St, New York, NY, 10028",['Carpet & Rug Cleaners']
RugsCleaning.NYC,rugscleaning.nyc,2127294629,"212 W 82nd St, New York, NY, 10024","['Carpet & Rug Cleaners', 'House Cleaning']"
New York Carpet Cleaning,ny-carpet.com,2122434434,"1650 1st Ave, New York, NY, 10028",['Carpet & Rug Cleaners']
Chem-Dry,N/A,3476182810,"9 E 86th St, New York, NY, 10028","['Carpet & Rug Cleaners', 'Leather Cleaning', 'Commercial & Industrial Steam Cleaning']"
Agara Rug Cleaning NYC,rugcleaningnyc.com,2123350284,"420 E 89th St, New York, NY, 10128","['Carpet & Rug Cleaners', 'Floor Materials', 'Carpet & Rug Dealers']"
Broadway Carpet NY,broadwaycarpetny.com,8005447118,"7 W 87th St, New York, NY, 10024","['Carpet & Rug Cleaners', 'Carpet & Rug Dealers']"
Carpet Cleaning Done Right,N/A,9174250487,"1838 2nd Ave # 113, New York, NY, 10128",['Carpet & Rug Cleaners']
Stevens Cleaning Service,N/A,2122895183,"328 E 96th St, New York, NY, 10128","['Carpet & Rug Cleaners', 'Building Maintenance']"
New Crystal Cleaners,N/A,2128663887,"696 Columbus Ave, New York, NY, 10025","['Carpet & Rug Cleaners', 'Dry Cleaners & Laundries']"
Rescue Carpet,rescuecarpet.com,2128748873,"666 W End Ave, New York, NY, 10025",['Carpet & Rug Cleaners']
City Carpet & Upholstery,N/A,2129833785,"389 Central Park W, New York, NY, 10025",['Carpet & Rug Cleaners']
Green Steamers,green-steamers.com,2125674444,"339 E 104th St, New York, NY, 10029","['Carpet & Rug Cleaners', 'Carpet & Rug Cleaners-Water Extraction', 'Carpet & Rug Repair']"
Stanley Steam Carpet Cleaning Inc,N/A,2124263901,"2041 1st Ave, New York, NY, 10029",['Carpet & Rug Cleaners']
H & S Rug Cleaning & Restoration,orientalrugcleaningny.com,2123801591,"467 Central Park W, New York, NY, 10025","['Carpet & Rug Cleaners', 'Carpet & Rug Repair', 'Carpet & Rug Inspection Service']"
Long Island Carprt Cleaning,N/A,2125347938,"2260 1st Ave, New York, NY, 10035",['Carpet & Rug Cleaners']
770 Carpet Cleaning,N/A,6465822992,"2350 12th Ave, New York, NY, 10027","['Carpet & Rug Cleaners', 'Cleaning Contractors']"
Ny Carpet Cleaning,N/A,6465822995,"2289 5th Ave, New York, NY, 10037","['Carpet & Rug Cleaners', 'Cleaning Contractors']"
Hilltop Carpet Care,N/A,8003188155,"15 W 139th St, New York, NY, 10037",['Carpet & Rug Cleaners']
Central Carpet Cleaning Service,N/A,2125182416,"229 W 144th St, New York, NY, 10030",['Carpet & Rug Cleaners']
Areal Carpet,N/A,2122832288,"Serving Your Area, New York, NY, 10031",['Carpet & Rug Cleaners']
Carpet Cleaning New York,N/A,2126900675,"1770 Amsterdam Ave, New York, NY, 10031","['Carpet & Rug Cleaners', 'Cleaning Contractors']"
Local Carpet Cleanng,N/A,6465825604,"666 W 204th St, New York, NY, 10034","['Carpet & Rug Cleaners', 'Cleaning Contractors']"
Rug Warehouse Rug Carpet Cleaning,N/A,2129291516,"532 North Grv, New York, NY, 10011","['Carpet & Rug Cleaners', 'Carpet & Rug Dealers']"
Boston Carpet Care,N/A,8883965195,"New York, NY, 10036","['Carpet & Rug Cleaners', 'Building Cleaners-Interior', 'Janitorial Service']"
Ernest Winzer Cleaners,N/A,7182942400,"New York, NY, 10065",['Carpet & Rug Cleaners']
Everrug,everrug.com,9176334397,"New York, NY, 10019",['Carpet & Rug Cleaners']
ABC Furniture Cleaning,N/A,2122190058,"New York, NY, 10013",['Carpet & Rug Cleaners']
Carpet Express NYC,N/A,3476891482,"74 Chambers St, New York, NY, 10007",['Carpet & Rug Cleaners']
Carpet Genius,carpetgenius.com,8666811889,"1 River Pl Apt 1708, New York, NY, 10036","['Carpet & Rug Cleaners', 'Janitorial Service', 'Upholstery Cleaners']"
Sunlight Fine Rugcare & Restoration,sunlightfinerugcare.com,9177314999,"19 W 74th St, New York, NY, 10023","['Carpet & Rug Cleaners', 'Janitorial Service', 'Building Cleaners-Interior']"
Rug Cleaning NYC,N/A,6462249017,"221 E 59th St, New York, NY, 10022",['Carpet & Rug Cleaners']
On Time Rug Cleaners,ontimerugscleaning.com,2128102171,"145 E 55th St, New York, NY, 10022",['Carpet & Rug Cleaners']
Central Rug Cleaners,centralrugandcarpet.com,2125182828,"156 Church St, New York, NY, 10007",['Carpet & Rug Cleaners']
A To Z Flooring Carpet Clng,N/A,2125182845,"113 Chambers St, New York, NY, 10007",['Carpet & Rug Cleaners']
Sacco Carpet,saccocarpet.com,2122264344,"520 Broadway Fl 6, New York, NY, 10012","['Carpet & Rug Cleaners', 'Carpet & Rug Dealers', 'Floor Materials']"
Soho Local Steamers Nyc,N/A,3474225004,"228 Mott St # 201, New York, NY, 10012",['Carpet & Rug Cleaners']
Abc Carpet & Upholstery Care,N/A,2127415200,"345 Hudson St, New York, NY, 10014",['Carpet & Rug Cleaners']
Noho Carpet Cleaning,sohorugcleaners.us,6463862218,"718 Broadway, New York, NY, 10003",['Carpet & Rug Cleaners']
ABC Carpet & Rug Repair,N/A,2126772800,"412 Avenue Of The Americas, New York, NY, 10011",['Carpet & Rug Cleaners']
Merlin Industries Inc,merlin-nyc.com,2122066800,"348 W 14th St Fl 2L, New York, NY, 10014","['Carpet & Rug Cleaners', 'Upholstery Cleaners']"
Associated-Acc International LTD,N/A,2124753800,"43 W 22nd St, New York, NY, 10010","['Carpet & Rug Cleaners', 'Carpet & Rug Dealers']"
Rd Weis & Company Inc,rdweis.com,2123765355,"260 5th Ave, New York, NY, 10001",['Carpet & Rug Cleaners']
A Renotex Corp,N/A,2122554600,"229 10th Ave, New York, NY, 10011","['Carpet & Rug Cleaners', 'Janitorial Service', 'Upholstery Cleaners']"
All Bright Services,allbrightservices.com,2127448696,"146 W 29th St, New York, NY, 10001","['Carpet & Rug Cleaners', 'Building Cleaners-Interior', 'Industrial Cleaning']"
Decesario Robert,N/A,8008014085,"25 W 31st St, New York, NY, 10001",['Carpet & Rug Cleaners']
Clean for Less,N/A,2122132570,"550 1st Ave Frnt, New York, NY, 10016",['Carpet & Rug Cleaners']
Kiwi Carpet Inc,N/A,2129476866,"362 5th Ave, New York, NY, 10001","['Carpet & Rug Cleaners', 'Floor Materials']"
Tri State Carpet & Window Inc,tristatecarpets.com,2126297080,"366 5th Ave, New York, NY, 10001","['Carpet & Rug Cleaners', 'Floor Materials', 'Drapery & Curtain Cleaners']"
First Class Carpet Cleaning,N/A,2128864535,"235 W 35th St, New York, NY, 10001",['Carpet & Rug Cleaners']
Spotless,myspotlesshome.com,2122011451,"545 8th Ave Rm 401, New York, NY, 10018",['Carpet & Rug Cleaners']
Aziz Michael Oriental Rugs,N/A,2124652050,"270 W 38th St, New York, NY, 10018",['Carpet & Rug Cleaners']
New York Mobile Crpt Rug Clnrs,N/A,3476745035,"295 Madison Ave Rm 909, New York, NY, 10017",['Carpet & Rug Cleaners']
Universal Pearl,universalpearl.com,2126860606,"10 W 47th St, New York, NY, 10036",['Carpet & Rug Cleaners']
Fiber Seal of Westchester Inc,fiberseal.com,2128881070,"214 E 52nd St, New York, NY, 10022",['Carpet & Rug Cleaners']
Steamer Julie,N/A,2122370109,"666 5th Ave, New York, NY, 10103",['Carpet & Rug Cleaners']
Robert M Weiss Co,kattenlaw.com,2125618768,"440 Park Ave, New York, NY, 10022","['Carpet & Rug Cleaners', 'Carpet & Rug Repair', 'Carpet & Rug Dealers']"
Carpet Steam Cleaning,carpet-steam-cleaning.com,2123088878,"325 E 59th St, New York, NY, 10022","['Carpet & Rug Cleaners', 'Upholstery Cleaners', 'General Contractors']"
D Kalfaian & Sons Rug Cleaning,N/A,2128090082,"767 Lexington Ave, New York, NY, 10065",['Carpet & Rug Cleaners']
Oriental & Persian Rug Clnng,orientalrugcareny.com,2122011573,"400 E 62nd St # 219, New York, NY, 10065",['Carpet & Rug Cleaners']
Only the Best Carpet Cleaning,onlythebestcarpetcleaning.com,2127371183,"954 Lexington Ave, New York, NY, 10021",['Carpet & Rug Cleaners']
Rug Wash Carpet Cleaning,1800rugwash.com,2126559513,"206 Columbus Ave, New York, NY, 10023","['Carpet & Rug Cleaners', 'Janitorial Service']"
Carpet Clean Care,N/A,2123622175,"170 W End Ave, New York, NY, 10023","['Carpet & Rug Cleaners', 'Cleaning Contractors']"
Victor Cohen,N/A,2123300329,"170 W End Ave, New York, NY, 10023",['Carpet & Rug Cleaners']
Oriental Carpet & Upholstery Cleaners,luxurycarpetny.com,2125851900,"1065 Lexington Ave, New York, NY, 10021","['Carpet & Rug Cleaners', 'Janitorial Service', 'Upholstery Cleaners']"
Service Center of New York Inc,N/A,2127553500,"218 W 72nd St, New York, NY, 10023",['Carpet & Rug Cleaners']
Oriental Rug Care New York,orientalrugcareny.com,2126772800,"231 E 81st St, New York, NY, 10028","['Carpet & Rug Cleaners', 'Fire & Water Damage Restoration']"
Azak Water & Fire Cleaning,azakwaterandfirecleaning.com,2123273093,"303 E 81st St, New York, NY, 10028","['Carpet & Rug Cleaners', 'Building Cleaners-Interior', 'Janitorial Service']"
York Carpet Care,yorkcarpet.com,8003104640,"1202 Lexington Ave Ste 166, New York, NY, 10028","['Carpet & Rug Cleaners', 'Janitorial Service']"
East End Window & Carpet Cleaning,N/A,2128795590,"1550 York Ave Ofc 3, New York, NY, 10028","['Carpet & Rug Cleaners', 'Upholstery Cleaners', 'Cleaning Contractors']"
24 Hour Carpet Cleaning,24hrcarpetcleaning.com,2122357001,"31 E 85th St, New York, NY, 10028",['Carpet & Rug Cleaners']
New York Rug Cleaning,newyorkrugcleaning.com,2123088878,"105 W 86th St, New York, NY, 10024","['Carpet & Rug Cleaners', 'Drapery & Curtain Cleaners']"
FreshcarpetNY,N/A,2128101163,"1710 1st Ave, New York, NY, 10128",['Carpet & Rug Cleaners']
Fiber Guard Co,N/A,2129964414,"22-24 E 105th St, New York, NY, 10029","['Carpet & Rug Cleaners', 'Cleaning Contractors']"
ABC Carpet & Rug Repair,N/A,9145338026,"19 E 108th St Apt 2fe, New York, NY, 10029",['Carpet & Rug Cleaners']
